match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2015000,1,10/20/2015,5:00 PM,2:00,El Dakhlia,El Mokawloon,Tuesday,2,0,HomeWin,2015-2016
2015001,1,10/20/2015,7:45 PM,2:02,Enppi SC,Harras Hodoud,Tuesday,2,2,Draw,2015-2016
2015002,1,10/21/2015,2:45 PM,1:00,Ittihad Alex,Aswan SC,Wednesday,1,0,HomeWin,2015-2016
2015003,1,10/21/2015,5:00 PM,2:00,Ismaily,Entag El Harby,Wednesday,2,0,HomeWin,2015-2016
2015004,1,10/21/2015,7:45 PM,2:00,Zamalek,Wadi Degla,Wednesday,2,0,HomeWin,2015-2016
2015005,1,10/22/2015,2:45 PM,0:01,El Mahalla,Smouha,Thursday,0,1,AwayWin,2015-2016
2015006,1,10/22/2015,5:00 PM,1:01,El Makasa,El Shorta,Thursday,1,1,Draw,2015-2016
2015007,1,10/22/2015,4:00 PM,1:03,Petrojet,El Masry,Thursday,1,3,AwayWin,2015-2016
2015008,1,10/22/2015,7:45 PM,0:01,Talaea El Gaish,Ahly SC,Thursday,0,1,AwayWin,2015-2016
2015009,2,10/24/2015,2:45 PM,0:01,Harras Hodoud,El Dakhlia,Saturday,0,1,AwayWin,2015-2016
2015010,2,10/24/2015,5:00 PM,0:01,Entag El Harby,Ittihad Alex,Saturday,0,1,AwayWin,2015-2016
2015011,2,10/24/2015,7:45 PM,0:00,El Mokawloon,Ismaily,Saturday,0,0,Draw,2015-2016
2015012,2,10/25/2015,1:45 PM,0:03,Smouha,Petrojet,Sunday,0,3,AwayWin,2015-2016
2015013,2,10/25/2015,4:00 PM,0:00,Aswan SC,Zamalek,Sunday,0,0,Draw,2015-2016
2015014,2,10/25/2015,3:00 PM,1:01,El Masry,El Makasa,Sunday,1,1,Draw,2015-2016
2015015,2,10/25/2015,6:45 PM,2:00,Ahly SC,El Mahalla,Sunday,2,0,HomeWin,2015-2016
2015016,2,10/26/2015,4:00 PM,0:00,El Shorta,Enppi SC,Monday,0,0,Draw,2015-2016
2015017,2,10/26/2015,6:45 PM,3:03,Wadi Degla,Talaea El Gaish,Monday,3,3,Draw,2015-2016
2015018,3,10/31/2015,1:45 PM,0:02,El Mahalla,Wadi Degla,Saturday,0,2,AwayWin,2015-2016
2015019,3,10/31/2015,12:45 PM,2:01,Enppi SC,El Masry,Saturday,2,1,HomeWin,2015-2016
2015020,3,10/31/2015,4:00 PM,2:00,El Makasa,Smouha,Saturday,2,0,HomeWin,2015-2016
2015021,3,10/31/2015,3:00 PM,1:01,Ittihad Alex,El Mokawloon,Saturday,1,1,Draw,2015-2016
2015022,3,10/31/2015,6:45 PM,2:01,Zamalek,Entag El Harby,Saturday,2,1,HomeWin,2015-2016
2015023,3,11/1/2015,1:45 PM,1:01,Talaea El Gaish,Aswan SC,Sunday,1,1,Draw,2015-2016
2015024,3,11/1/2015,12:45 PM,1:01,El Shorta,Harras Hodoud,Sunday,1,1,Draw,2015-2016
2015025,3,11/1/2015,4:00 PM,0:01,Petrojet,Ahly SC,Sunday,0,1,AwayWin,2015-2016
2015026,3,11/1/2015,6:45 PM,0:01,Ismaily,El Dakhlia,Sunday,0,1,AwayWin,2015-2016
2015027,4,11/4/2015,5:00 PM,1:02,El Mokawloon,Zamalek,Wednesday,1,2,AwayWin,2015-2016
2015028,4,11/5/2015,4:00 PM,1:01,Smouha,Enppi SC,Thursday,1,1,Draw,2015-2016
2015029,4,11/5/2015,6:45 PM,0:01,Ahly SC,El Makasa,Thursday,0,1,AwayWin,2015-2016
2015030,4,11/7/2015,1:45 PM,2:00,El Dakhlia,Ittihad Alex,Saturday,2,0,HomeWin,2015-2016
2015031,4,11/7/2015,12:45 PM,1:00,El Masry,El Shorta,Saturday,1,0,HomeWin,2015-2016
2015032,4,11/7/2015,4:00 PM,0:04,Harras Hodoud,Ismaily,Saturday,0,4,AwayWin,2015-2016
2015033,4,11/7/2015,6:45 PM,3:00,Wadi Degla,Petrojet,Saturday,3,0,HomeWin,2015-2016
2015034,4,11/8/2015,4:00 PM,0:00,Aswan SC,El Mahalla,Sunday,0,0,Draw,2015-2016
2015035,4,11/8/2015,6:45 PM,2:01,Entag El Harby,Talaea El Gaish,Sunday,2,1,HomeWin,2015-2016
2015036,5,11/12/2015,1:45 PM,1:01,El Makasa,Wadi Degla,Thursday,1,1,Draw,2015-2016
2015037,5,11/12/2015,4:00 PM,0:05,Ittihad Alex,Ismaily,Thursday,0,5,AwayWin,2015-2016
2015038,5,11/12/2015,6:30 PM,2:01,Talaea El Gaish,El Mokawloon,Thursday,2,1,HomeWin,2015-2016
2015039,5,11/15/2015,1:45 PM,1:01,Petrojet,Aswan SC,Sunday,1,1,Draw,2015-2016
2015040,5,11/15/2015,4:00 PM,0:01,El Mahalla,Entag El Harby,Sunday,0,1,AwayWin,2015-2016
2015041,5,11/15/2015,6:30 PM,3:02,El Masry,Harras Hodoud,Sunday,3,2,HomeWin,2015-2016
2015042,5,11/19/2015,5:00 PM,0:02,El Shorta,Smouha,Thursday,0,2,AwayWin,2015-2016
2015043,5,1/5/2016,5:00 PM,2:00,Zamalek,El Dakhlia,Tuesday,2,0,HomeWin,2015-2016
2015044,5,2/3/2016,7:00 PM,0:02,Enppi SC,Ahly SC,Wednesday,0,2,AwayWin,2015-2016
2015045,6,11/26/2015,1:45 PM,0:00,El Mokawloon,El Mahalla,Thursday,0,0,Draw,2015-2016
2015046,6,11/26/2015,4:00 PM,0:01,Harras Hodoud,Ittihad Alex,Thursday,0,1,AwayWin,2015-2016
2015047,6,11/26/2015,6:30 PM,0:00,El Dakhlia,Talaea El Gaish,Thursday,0,0,Draw,2015-2016
2015048,6,11/28/2015,1:45 PM,2:03,Aswan SC,El Makasa,Saturday,2,3,AwayWin,2015-2016
2015049,6,11/28/2015,4:00 PM,1:01,Smouha,El Masry,Saturday,1,1,Draw,2015-2016
2015050,6,11/28/2015,6:30 PM,0:00,Entag El Harby,Petrojet,Saturday,0,0,Draw,2015-2016
